perryman-monday-1,back-squat,8
perryman-monday-1,back-squat,8
perryman-monday-1,back-squat,8
perryman-monday-1,overhead-press,8
perryman-monday-1,overhead-press,8
perryman-monday-1,overhead-press,8
perryman-monday-1,chinup,8
perryman-monday-1,chinup,8
perryman-monday-1,chinup,8
perryman-wednesday-1,front-squat,8
perryman-wednesday-1,front-squat,8
perryman-wednesday-1,front-squat,8
perryman-wednesday-1,bench-press,8
perryman-wednesday-1,bench-press,8
perryman-wednesday-1,bench-press,8
perryman-wednesday-1,chinup,8
perryman-wednesday-1,chinup,8
perryman-wednesday-1,chinup,8
perryman-friday-1,back-squat,8
perryman-friday-1,back-squat,8
perryman-friday-1,back-squat,8
perryman-friday-1,push-press,8
perryman-friday-1,push-press,8
perryman-friday-1,push-press,8
perryman-friday-1,deadlift,8
perryman-friday-1,deadlift,8
perryman-friday-1,deadlift,8
perryman-monday-2,back-squat,8
perryman-monday-2,back-squat,8
perryman-monday-2,back-squat,8
perryman-monday-2,overhead-press,8
perryman-monday-2,overhead-press,8
perryman-monday-2,overhead-press,8
perryman-monday-2,chinup,8
perryman-monday-2,chinup,8
perryman-monday-2,chinup,8
perryman-wednesday-2,front-squat,8
perryman-wednesday-2,front-squat,8
perryman-wednesday-2,front-squat,8
perryman-wednesday-2,bench-press,8
perryman-wednesday-2,bench-press,8
perryman-wednesday-2,bench-press,8
perryman-wednesday-2,chinup,8
perryman-wednesday-2,chinup,8
perryman-wednesday-2,chinup,8
perryman-friday-2,back-squat,8
perryman-friday-2,back-squat,8
perryman-friday-2,back-squat,8
perryman-friday-2,push-press,8
perryman-friday-2,push-press,8
perryman-friday-2,push-press,8
perryman-friday-2,deadlift,8
perryman-friday-2,deadlift,8
perryman-friday-2,deadlift,8
